# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.200000,0.288060,0.000000,-0.000000,-1.959778,1.786734,0.546949,-1.185004,0.371777,0.079886,0.000000,0.000000,3.608347,-5.179413,-0.034366,2.869898,-1.087543,0.699794,0.000000,-0.000000,0.007219,-0.009049,-0.002965,0.007590,-0.002492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,-0.238739,-0.366738,0.402210,0.520977,-0.232018,-0.259106,0.167585,-0.023095,0.162170,-0.452713,0.082107,-1.493581,1.899267,0.292667,-1.201301,0.414264,0.699859,-0.000884,0.002401,0.002500,-0.005907,-0.000786,0.004522,-0.001645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,0.092409,0.578375,-0.198515,-0.208245,-0.260506,0.070608,0.220964,-0.096424,-0.279874,0.177746,0.454143,0.385960,-0.507347,-0.323737,0.426599,-0.108552,0.699978,-0.000176,0.001461,-0.000300,-0.003261,0.000349,0.003119,-0.001386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,0.090550,-0.582703,-0.144608,0.196529,0.217871,0.060669,-0.185450,0.052519,0.281585,0.171890,-0.537486,0.153856,-0.551962,0.150483,0.526259,-0.265921,0.699804,0.000697,0.002803,-0.003745,-0.002895,0.001364,0.003486,-0.001764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,-0.240151,0.383172,0.469776,-0.481611,0.405286,0.007566,-0.547559,0.280604,-0.171802,-0.409609,0.320939,-1.440562,2.927960,0.726302,-3.501391,1.452965,0.699686,0.000552,0.004123,-0.005557,-0.002219,0.002034,0.003154,-0.001879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
