# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.200000,-0.075359,0.000000,0.000000,4.149757,-5.474948,-0.264189,3.107157,-1.145175,-0.291471,0.000000,0.000000,0.052692,0.682488,-0.241174,-0.390818,0.188924,0.699794,0.000000,-0.000000,0.007219,-0.009049,-0.002965,0.007590,-0.002492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,0.259732,-0.201726,-0.125420,-1.663216,1.919653,0.383456,-1.226109,0.411718,0.124642,0.558477,-0.364945,0.060384,-0.427729,0.032107,0.321667,-0.130127,0.699859,-0.000884,0.002401,0.002500,-0.005907,-0.000786,0.004522,-0.001645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,-0.288114,-0.143557,0.476205,0.579364,-0.469234,-0.361491,0.396703,-0.095103,0.060812,-0.597555,-0.082962,0.142337,0.315297,0.077445,-0.301385,0.101359,0.699978,-0.000176,0.001461,-0.000300,-0.003261,0.000349,0.003119,-0.001386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,0.197761,0.445806,-0.369381,-0.070597,-0.509087,0.166634,0.451303,-0.227065,-0.219995,0.419462,0.414086,-0.288653,0.106039,-0.132212,-0.089026,0.080350,0.699804,0.000697,0.002803,-0.003745,-0.002895,0.001364,0.003486,-0.001764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,-0.028208,-0.545007,0.029502,-0.997122,2.364885,0.571815,-2.729360,1.112638,0.293827,-0.121221,-0.563888,1.071251,-1.765533,-0.273486,2.094040,-0.927105,0.699686,0.000552,0.004123,-0.005557,-0.002219,0.002034,0.003154,-0.001879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
