# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.200000,-0.212725,-0.000000,0.000000,-2.121553,3.417353,0.087209,-2.132270,0.815671,0.210397,-0.000000,0.000000,-3.585753,4.332124,0.380732,-2.485765,0.890251,0.699794,0.000000,-0.000000,0.007219,-0.009049,-0.002965,0.007590,-0.002492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,-0.019770,0.574260,-0.304158,1.044437,-1.377220,-0.321868,1.026732,-0.348693,-0.287834,-0.103733,0.302458,1.393779,-1.453294,-0.349290,0.920606,-0.301062,0.699859,-0.000884,0.002401,0.002500,-0.005907,-0.000786,0.004522,-0.001645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,0.195799,-0.459555,-0.290658,-0.024038,0.253597,0.260184,-0.300355,0.069268,0.219137,0.428494,-0.369521,-0.645561,0.343577,0.302784,-0.282749,0.064756,0.699978,-0.000176,0.001461,-0.000300,-0.003261,0.000349,0.003119,-0.001386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,-0.291126,0.153035,0.587212,-0.413191,0.505541,-0.134302,-0.415041,0.215080,-0.060697,-0.601008,0.096259,0.291632,0.322217,-0.139403,-0.256803,0.128910,0.699804,0.000697,0.002803,-0.003745,-0.002895,0.001364,0.003486,-0.001764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,0.269574,0.178260,-0.523637,1.345279,-2.581108,-0.465682,3.023855,-1.301807,-0.122984,0.532118,0.269775,0.311548,-1.193962,-0.289241,1.268738,-0.488765,0.699686,0.000552,0.004123,-0.005557,-0.002219,0.002034,0.003154,-0.001879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
